#{"t_start": 1763358890.7584512, "env_id": "GridWorldStatic-v0"}
r,l,t
29.0,2,17.025222
18.0,4,17.032227
21.0,3,17.036226
10.0,5,17.042639
26.0,3,17.048154
18.0,4,17.053374
20.0,5,17.06038
-1.0,7,17.07137
23.0,4,17.076369
17.0,6,17.084505
26.0,3,17.088717
10.0,5,17.094717
15.0,5,17.10271
-35.0,15,17.124176
17.0,6,17.133184
10.0,5,17.141214
21.0,3,17.145426
6.0,8,17.154791
12.0,6,17.161795
29.0,2,17.163898
1.0,8,17.172901
-11.0,12,17.18693
29.0,2,17.188975
23.0,4,17.193956
3.0,9,17.205204
4.0,7,17.214255
4.0,7,17.222559
-14.0,13,17.24021
1.0,8,17.249557
29.0,2,17.252876
18.0,4,17.256896
21.0,3,17.26107
1.0,8,17.270688
-8.0,11,17.463963
15.0,5,17.47096
23.0,4,17.476959
32.0,1,17.477958
23.0,4,17.482957
26.0,3,17.487964
-10.0,10,17.501348
-28.0,16,17.523231
15.0,5,17.530238
6.0,8,17.541814
9.0,7,17.551759
12.0,6,17.559829
-31.0,17,17.583794
4.0,7,17.593791
17.0,6,17.601863
-1.0,7,17.612567
17.0,6,17.620592
23.0,4,17.626736
-6.0,7,17.635943
26.0,3,17.63995
23.0,4,17.645467
5.0,5,17.652117
3.0,9,17.663409
18.0,4,17.66741
29.0,2,17.670506
-12.0,9,17.681908
15.0,5,17.687407
5.0,5,17.693811
29.0,2,17.696284
-10.0,15,17.714746
-21.0,12,17.728743
1.0,8,17.737777
-9.0,8,17.747351
10.0,5,17.75435
11.0,8,17.763348
12.0,6,17.770346
23.0,4,17.774345
29.0,2,17.777345
26.0,3,17.780344
32.0,1,17.782343
26.0,3,17.786343
12.0,6,17.792341
-15.0,10,18.017931
29.0,2,18.019953
24.0,2,18.023289
29.0,2,18.025288
15.0,5,18.032751
11.0,8,18.044039
-1.0,7,18.054101
6.0,8,18.06526
26.0,3,18.073536
29.0,2,18.075528
7.0,6,18.085289
21.0,3,18.090427
18.0,4,18.096723
-60.0,15,18.117939
23.0,4,18.12419
10.0,5,18.131337
24.0,2,18.13434
6.0,8,18.145329
15.0,5,18.152677
29.0,2,18.155046
26.0,3,18.159456
32.0,1,18.16044
23.0,4,18.166927
29.0,2,18.169902
24.0,2,18.172896
32.0,1,18.174895
2.0,6,18.183493
18.0,4,18.189628
11.0,8,18.201144
-6.0,7,18.209157
20.0,5,18.215412
14.0,7,18.224555
23.0,4,18.228835
26.0,3,18.232849
20.0,5,18.238872
-16.0,12,18.252662
24.0,2,18.255886
-20.0,10,18.268121
23.0,4,18.273143
26.0,3,18.27651
23.0,4,18.280844
32.0,1,18.281844
-7.0,9,18.29335
1.0,8,18.305547
17.0,6,18.314639
13.0,4,18.319692
23.0,4,18.323665
26.0,3,18.32773
12.0,6,18.334877
26.0,3,18.338855
-19.0,13,18.358811
26.0,3,18.543296
12.0,6,18.551924
32.0,1,18.553923
15.0,5,18.560921
32.0,1,18.561921
32.0,1,18.563931
10.0,5,18.570919
-1.0,7,18.579917
18.0,4,18.585915
17.0,6,18.594928
26.0,3,18.59891
20.0,5,18.606654
32.0,1,18.607658
26.0,3,18.611781
32.0,1,18.613781
26.0,3,18.617471
32.0,1,18.61947
17.0,6,18.628709
15.0,5,18.635718
20.0,5,18.641713
21.0,3,18.647696
29.0,2,18.649764
13.0,4,18.655777
9.0,7,18.666435
21.0,3,18.670941
14.0,7,18.681
32.0,1,18.682
9.0,7,18.691347
23.0,4,18.697932
11.0,8,18.709569
32.0,1,18.711785
20.0,5,18.718824
14.0,7,18.729071
20.0,5,18.736722
23.0,4,18.741774
32.0,1,18.742767
20.0,5,18.749663
23.0,4,18.754054
18.0,4,18.758499
23.0,4,18.7639
21.0,3,18.76692
4.0,7,18.775024
10.0,5,18.7834
18.0,4,18.787908
32.0,1,18.789907
14.0,7,18.79813
3.0,9,18.808461
20.0,5,18.815352
9.0,7,18.82378
26.0,3,18.828861
24.0,2,18.831897
21.0,3,18.836895
18.0,4,18.843894
20.0,5,18.85065
0.0,10,18.864636
20.0,5,18.871825
24.0,2,18.874833
20.0,5,18.883035
32.0,1,18.885114
26.0,3,18.889219
20.0,5,18.897755
12.0,6,19.098712
17.0,6,19.106716
26.0,3,19.110715
26.0,3,19.115708
23.0,4,19.120708
32.0,1,19.121707
10.0,5,19.129041
32.0,1,19.131041
17.0,6,19.139049
13.0,4,19.144044
29.0,2,19.146549
11.0,8,19.157554
32.0,1,19.158554
17.0,6,19.166556
23.0,4,19.171551
15.0,5,19.17855
26.0,3,19.182549
-14.0,8,19.193553
26.0,3,19.198553
32.0,1,19.199553
26.0,3,19.203544
23.0,4,19.207542
26.0,3,19.211541
7.0,6,19.218938
29.0,2,19.221937
-8.0,11,19.236077
29.0,2,19.239077
5.0,10,19.252952
12.0,6,19.261072
13.0,4,19.267075
26.0,3,19.271071
1.0,8,19.281554
32.0,1,19.283556
26.0,3,19.287554
23.0,4,19.292606
6.0,8,19.302713
15.0,5,19.308712
3.0,9,19.31976
0.0,10,19.331284
26.0,3,19.334319
-2.0,9,19.348692
23.0,4,19.354546
-4.0,8,19.366854
26.0,3,19.370888
23.0,4,19.381222
9.0,7,19.391346
17.0,6,19.400007
26.0,3,19.404687
5.0,5,19.412446
-2.0,9,19.425703
-11.0,12,19.446008
21.0,3,19.45102
12.0,6,19.646423
9.0,7,19.65646
18.0,4,19.662161
7.0,6,19.670156
13.0,4,19.675154
14.0,7,19.684861
26.0,3,19.68886
26.0,3,19.692859
15.0,5,19.699857
20.0,5,19.706856
20.0,5,19.713855
29.0,2,19.716853
23.0,4,19.722852
29.0,2,19.724852
10.0,5,19.732392
29.0,2,19.735387
26.0,3,19.740386
26.0,3,19.744388
-13.0,11,19.75928
29.0,2,19.761784
10.0,5,19.768781
29.0,2,19.771782
29.0,2,19.774781
29.0,2,19.77778
12.0,6,19.785777
18.0,4,19.790776
29.0,2,19.793775
23.0,4,19.799774
3.0,9,19.811771
29.0,2,19.81477
18.0,4,19.819769
9.0,7,19.829226
10.0,5,19.836232
23.0,4,19.841231
32.0,1,19.842231
12.0,6,19.848748
14.0,7,19.856749
15.0,5,19.861745
29.0,2,19.864744
26.0,3,19.867743
6.0,8,19.877742
-2.0,9,19.88674
23.0,4,19.891766
23.0,4,19.895765
13.0,4,19.900764
9.0,7,19.908762
26.0,3,19.911762
11.0,8,19.922759
29.0,2,19.924759
14.0,7,19.932793
20.0,5,19.939522
23.0,4,19.944521
29.0,2,19.947033
20.0,5,19.952069
15.0,5,19.95807
24.0,2,19.960067
32.0,1,19.962067
26.0,3,19.965038
13.0,4,20.160649
24.0,2,20.163647
26.0,3,20.167645
32.0,1,20.170077
17.0,6,20.178072
18.0,4,20.184289
32.0,1,20.18539
18.0,4,20.192682
32.0,1,20.19444
20.0,5,20.20122
17.0,6,20.212456
15.0,5,20.21964
20.0,5,20.227174
20.0,5,20.232172
5.0,10,20.245259
15.0,5,20.252293
15.0,5,20.259336
26.0,3,20.263335
32.0,1,20.264335
23.0,4,20.270333
20.0,5,20.276331
11.0,8,20.287342
20.0,5,20.294341
15.0,5,20.300859
7.0,6,20.307859
18.0,4,20.31242
24.0,2,20.314428
15.0,5,20.320426
29.0,2,20.322426
29.0,2,20.324426
32.0,1,20.325427
32.0,1,20.327425
29.0,2,20.329425
20.0,5,20.336429
32.0,1,20.338428
32.0,1,20.339428
20.0,5,20.346426
29.0,2,20.348945
23.0,4,20.355942
20.0,5,20.361943
23.0,4,20.366942
17.0,6,20.373935
18.0,4,20.378452
15.0,5,20.383451
23.0,4,20.388449
23.0,4,20.392699
15.0,5,20.398698
12.0,6,20.404697
18.0,4,20.410039
29.0,2,20.412038
13.0,4,20.417037
-28.0,16,20.434069
13.0,4,20.43962
23.0,4,20.444421
26.0,3,20.447546
20.0,5,20.455057
29.0,2,20.458056
20.0,5,20.4641
26.0,3,20.468099
15.0,5,20.474097
8.0,9,20.484463
26.0,3,20.488514
29.0,2,20.656855
29.0,2,20.659853
29.0,2,20.661853
29.0,2,20.663852
7.0,6,20.670851
12.0,6,20.678505
32.0,1,20.679504
32.0,1,20.681507
26.0,3,20.685505
23.0,4,20.691628
32.0,1,20.692624
17.0,6,20.699621
23.0,4,20.70362
21.0,3,20.70662
32.0,1,20.707621
32.0,1,20.709619
23.0,4,20.713619
23.0,4,20.717617
18.0,4,20.723616
29.0,2,20.725615
15.0,5,20.732614
32.0,1,20.734619
7.0,6,20.742618
26.0,3,20.746617
13.0,4,20.752131
26.0,3,20.756127
32.0,1,20.757127
-36.0,17,20.779127
6.0,8,20.79012
15.0,5,20.797118
26.0,3,20.801301
12.0,6,20.818875
12.0,6,20.825873
23.0,4,20.829872
29.0,2,20.832871
26.0,3,20.835877
3.0,9,20.845879
26.0,3,20.849388
29.0,2,20.851388
23.0,4,20.856388
21.0,3,20.859387
23.0,4,20.864386
26.0,3,20.867386
18.0,4,20.871385
32.0,1,20.873384
18.0,4,20.877383
6.0,8,20.886584
26.0,3,20.889583
7.0,6,20.896885
20.0,5,20.901883
-2.0,9,20.91602
29.0,2,20.919019
7.0,6,20.930023
11.0,8,20.939167
29.0,2,20.941167
24.0,2,20.943166
29.0,2,20.946166
20.0,5,20.951739
9.0,7,20.959272
26.0,3,20.963271
29.0,2,20.965271
29.0,2,20.96727
14.0,7,20.975632
18.0,4,20.979631
26.0,3,21.150763
15.0,5,21.157275
18.0,4,21.162273
29.0,2,21.164272
29.0,2,21.167271
26.0,3,21.170271
24.0,2,21.17227
23.0,4,21.178394
23.0,4,21.183395
23.0,4,21.188391
26.0,3,21.19239
32.0,1,21.19339
24.0,2,21.196388
9.0,7,21.205386
26.0,3,21.210392
23.0,4,21.215392
15.0,5,21.22139
17.0,6,21.229742
32.0,1,21.231741
26.0,3,21.235756
32.0,1,21.236756
29.0,2,21.239755
21.0,3,21.243754
26.0,3,21.247753
15.0,5,21.254286
23.0,4,21.260284
26.0,3,21.264283
32.0,1,21.265284
17.0,6,21.27428
23.0,4,21.279278
-31.0,12,21.295415
32.0,1,21.297415
26.0,3,21.301414
17.0,6,21.309412
20.0,5,21.315409
10.0,5,21.322411
20.0,5,21.329409
23.0,4,21.335419
32.0,1,21.33742
17.0,6,21.345418
20.0,5,21.351515
26.0,3,21.35452
21.0,3,21.358519
4.0,7,21.36751
1.0,8,21.37758
26.0,3,21.380925
20.0,5,21.386923
23.0,4,21.39192
20.0,5,21.398921
21.0,3,21.40292
18.0,4,21.406918
18.0,4,21.411915
20.0,5,21.416917
21.0,3,21.420916
18.0,4,21.424916
29.0,2,21.4284
12.0,6,21.434788
7.0,6,21.442431
6.0,8,21.451612
20.0,5,21.45761
17.0,6,21.464609
20.0,5,21.469607
26.0,3,21.473606
23.0,4,21.66691
23.0,4,21.671906
20.0,5,21.678909
26.0,3,21.682904
12.0,6,21.691901
21.0,3,21.695908
20.0,5,21.702906
32.0,1,21.703906
32.0,1,21.705905
29.0,2,21.708905
32.0,1,21.710904
23.0,4,21.715895
29.0,2,21.718895
32.0,1,21.720895
15.0,5,21.727901
32.0,1,21.7289
7.0,6,21.736914
23.0,4,21.742912
32.0,1,21.743912
29.0,2,21.746912
29.0,2,21.750442
32.0,1,21.751442
23.0,4,21.757441
29.0,2,21.759441
26.0,3,21.764439
29.0,2,21.766439
32.0,1,21.768438
26.0,3,21.772437
11.0,8,21.783435
23.0,4,21.788433
20.0,5,21.795433
9.0,7,21.806789
29.0,2,21.809786
29.0,2,21.812784
29.0,2,21.815784
15.0,5,21.821784
26.0,3,21.826782
17.0,6,21.834786
26.0,3,21.838793
23.0,4,21.843791
23.0,4,21.849306
20.0,5,21.856322
9.0,7,21.865327
26.0,3,21.868326
32.0,1,21.870326
15.0,5,21.875323
26.0,3,21.879324
23.0,4,21.884323
20.0,5,21.89032
26.0,3,21.894321
12.0,6,21.900319
18.0,4,21.907305
23.0,4,21.911304
9.0,7,21.919303
29.0,2,21.921302
18.0,4,21.926301
9.0,7,21.935324
26.0,3,21.939323
20.0,5,21.944322
20.0,5,21.949831
29.0,2,21.951839
29.0,2,21.954839
9.0,7,21.961837
23.0,4,21.966836
26.0,3,21.969836
17.0,6,21.976861
26.0,3,21.979861
9.0,7,21.987859
29.0,2,21.989858
11.0,8,22.189856
15.0,5,22.197855
32.0,1,22.199852
26.0,3,22.203847
26.0,3,22.207847
14.0,7,22.218312
23.0,4,22.223311
29.0,2,22.22631
29.0,2,22.229309
20.0,5,22.236322
29.0,2,22.23932
9.0,7,22.24832
23.0,4,22.253852
29.0,2,22.256851
32.0,1,22.257851
20.0,5,22.264849
29.0,2,22.267848
32.0,1,22.268849
23.0,4,22.274847
29.0,2,22.277847
15.0,5,22.283845
9.0,7,22.293843
18.0,4,22.298841
15.0,5,22.305837
15.0,5,22.312833
32.0,1,22.31429
