#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
-84.0,28,7.837428
-2.0,9,7.842427
-36.0,17,7.93407
20.0,5,7.937378
-93.0,26,7.952619
-78.0,31,7.9727
-47.0,19,7.983801
21.0,3,7.985801
-106.0,37,8.009221
29.0,2,8.010217
26.0,3,8.012321
-45.0,20,8.025504
14.0,7,8.0305
6.0,8,8.036005
-31.0,17,8.046012
13.0,4,8.049011
-27.0,14,8.05601
2.0,11,8.06301
29.0,2,8.06401
12.0,6,8.067008
29.0,2,8.069007
-65.0,30,8.161482
-9.0,8,8.166481
-143.0,41,8.190626
29.0,2,8.191626
10.0,5,8.194653
12.0,6,8.197652
-6.0,12,8.204652
-93.0,26,8.21865
-63.0,26,8.232653
20.0,5,8.236157
-119.0,43,8.260257
26.0,3,8.261256
18.0,4,8.263255
10.0,5,8.266255
-291.0,72,8.381969
-54.0,18,8.393125
2.0,11,8.399122
-48.0,21,8.411121
-144.0,43,8.435133
-137.0,39,8.457345
9.0,7,8.46134
32.0,1,8.462342
17.0,6,8.46534
-131.0,47,8.493712
-23.0,16,8.502895
-59.0,23,8.514894
18.0,4,8.516897
-200.0,45,8.615996
-41.0,12,8.621997
-440.0,100,8.681083
-97.0,24,8.6954
29.0,2,8.697402
-8.0,11,8.704398
-167.0,54,8.737318
0.0,10,8.744761
6.0,8,8.750056
-94.0,28,8.84855
-47.0,19,8.860785
0.0,10,8.867313
18.0,4,8.869315
-41.0,22,8.883154
15.0,5,8.887198
29.0,2,8.888195
-11.0,12,8.895814
-44.0,23,8.909458
23.0,4,8.911459
18.0,4,8.913906
-31.0,17,8.926213
-51.0,22,8.943992
-124.0,38,8.971892
-30.0,15,8.980896
-60.0,25,8.997771
18.0,4,9.000584
24.0,2,9.00209
12.0,6,9.005425
-83.0,21,9.095247
1.0,8,9.100401
-37.0,19,9.112401
4.0,7,9.116403
-107.0,29,9.133323
-46.0,22,9.147807
-43.0,21,9.160226
-43.0,16,9.170226
20.0,5,9.173559
-152.0,49,9.205228
-4.0,8,9.211175
32.0,1,9.212281
20.0,5,9.215281
-262.0,59,9.333551
5.0,5,9.337057
-58.0,21,9.350513
26.0,3,9.35252
26.0,3,9.35452
-19.0,13,9.363197
-28.0,16,9.373143
26.0,3,9.375649
29.0,2,9.376721
-80.0,30,9.397266
-108.0,36,9.420853
-47.0,19,9.432745
-295.0,70,9.474659
-78.0,26,9.584309
11.0,8,9.589309
-106.0,32,9.608421
-177.0,54,9.641097
-205.0,60,9.680142
-116.0,32,9.699567
20.0,5,9.703566
-317.0,89,9.838884
-14.0,13,9.848343
20.0,5,9.851347
32.0,1,9.852366
29.0,2,9.853363
7.0,6,9.857363
-84.0,28,9.876539
14.0,7,9.881244
2.0,11,9.888256
-3.0,11,9.895773
32.0,1,9.896773
6.0,8,9.901781
-14.0,13,9.910354
-21.0,12,9.918448
-12.0,14,9.927618
4.0,7,9.932615
-64.0,23,9.94679
9.0,7,9.950992
-81.0,27,9.969512
-27.0,19,9.981971
-113.0,36,10.090657
-55.0,20,10.103041
17.0,6,10.107041
-72.0,24,10.121095
-28.0,21,10.135963
29.0,2,10.135963
-198.0,56,10.171628
-101.0,32,10.191552
24.0,2,10.192855
29.0,2,10.194169
18.0,4,10.196181
-155.0,45,10.225002
-36.0,17,10.235271
7.0,6,10.326982
-1.0,7,10.331677
-24.0,13,10.340201
-149.0,43,10.368804
15.0,5,10.37281
-48.0,16,10.381804
-38.0,21,10.396806
21.0,3,10.398802
-102.0,29,10.420854
32.0,1,10.420854
29.0,2,10.421956
-2.0,9,10.429348
-26.0,12,10.438237
29.0,2,10.439246
-52.0,19,10.452966
26.0,3,10.454966
-33.0,16,10.466429
-30.0,20,10.479118
12.0,6,10.482126
-84.0,28,10.63602
-35.0,15,10.649071
-8.0,11,10.657863
26.0,3,10.659984
-31.0,17,10.67427
-16.0,12,10.684709
-50.0,20,10.699461
-28.0,16,10.70846
23.0,4,10.71146
-228.0,61,10.745129
-59.0,18,10.756128
-25.0,15,10.764128
-9.0,8,10.769127
8.0,4,10.771127
-166.0,47,10.80213
-57.0,24,10.940162
-54.0,23,10.955186
-67.0,29,10.973181
5.0,10,10.980821
20.0,5,10.983817
-1.0,7,10.988006
-33.0,16,10.998998
20.0,5,11.002102
-79.0,28,11.019528
10.0,5,11.022526
12.0,6,11.025529
24.0,2,11.02653
-27.0,19,11.036528
-64.0,23,11.050161
-222.0,59,11.175226
-1.0,7,11.179463
-24.0,13,11.188499
-67.0,29,11.208742
23.0,4,11.210741
-175.0,50,11.23826
32.0,1,11.239789
-57.0,24,11.253802
-78.0,31,11.274316
15.0,5,11.276326
23.0,4,11.279326
-9.0,13,11.286325
-101.0,32,11.307753
13.0,4,11.310753
-9.0,13,11.318753
15.0,5,11.322752
32.0,1,11.322752
29.0,2,11.324756
17.0,6,11.328756
6.0,8,11.33385
12.0,6,11.412683
-263.0,66,11.449429
-2.0,9,11.454428
-235.0,65,11.489836
-94.0,38,11.511246
29.0,2,11.512246
16.0,3,11.513246
20.0,5,11.516245
7.0,6,11.520245
-1.0,7,11.52425
-23.0,11,11.530249
-32.0,19,11.540757
-84.0,28,11.636761
-20.0,15,11.646544
-187.0,54,11.680969
-172.0,39,11.705987
32.0,1,11.705987
11.0,8,11.711985
-226.0,62,11.75291
17.0,6,11.756909
13.0,4,11.758909
-2.0,9,11.765096
-106.0,37,11.788362
14.0,7,11.793237
-11.0,12,11.888146
3.0,9,11.894315
32.0,1,11.894315
-96.0,37,11.919629
-25.0,20,11.932324
-223.0,61,11.969359
29.0,2,11.970359
-15.0,10,11.977545
-152.0,49,12.005518
-21.0,12,12.012615
-7.0,9,12.01686
-185.0,55,12.122388
2.0,11,12.129394
-24.0,18,12.14112
-220.0,70,12.180127
-3.0,11,12.186124
-15.0,10,12.192124
-88.0,26,12.207459
21.0,3,12.208459
-99.0,28,12.224467
-71.0,27,12.239729
-83.0,26,12.253757
-166.0,52,12.36465
-13.0,11,12.370649
12.0,6,12.374649
2.0,11,12.380648
-215.0,60,12.416268
-87.0,29,12.433269
-305.0,80,12.479773
26.0,3,12.481772
-71.0,22,12.575304
-67.0,24,12.59031
-28.0,16,12.601303
-20.0,15,12.611304
17.0,6,12.615412
-63.0,26,12.632535
-234.0,68,12.672129
-73.0,31,12.689128
-90.0,25,12.703125
23.0,4,12.705129
23.0,4,12.708125
26.0,3,12.709125
-117.0,39,12.808803
-71.0,22,12.82128
-84.0,28,12.837305
13.0,4,12.839814
20.0,5,12.841814
20.0,5,12.844813
8.0,9,12.849813
32.0,1,12.850813
18.0,4,12.852813
-54.0,23,12.865812
-15.0,15,12.87481
-134.0,43,12.901319
29.0,2,12.902318
3.0,9,12.908322
-84.0,28,12.926714
-20.0,15,12.936722
-58.0,21,12.950642
-22.0,14,13.052313
17.0,6,13.056711
-25.0,15,13.065954
-170.0,45,13.09548
-23.0,16,13.106371
29.0,2,13.107368
-45.0,15,13.115793
26.0,3,13.117792
-270.0,70,13.162864
-26.0,17,13.172865
-13.0,11,13.179887
-145.0,50,13.209162
32.0,1,13.21016
-182.0,49,13.32534
20.0,5,13.329565
-59.0,23,13.346378
-10.0,10,13.353388
-168.0,41,13.382011
-36.0,17,13.394439
2.0,11,13.402443
12.0,6,13.406436
-151.0,47,13.437673
10.0,5,13.441191
-261.0,77,13.575182
26.0,3,13.577182
7.0,6,13.580613
-46.0,22,13.593611
-20.0,10,13.599612
-109.0,33,13.618609
-57.0,19,13.629612
-129.0,33,13.650889
20.0,5,13.654279
21.0,3,13.655669
-81.0,32,13.675043
11.0,8,13.68104
-115.0,35,13.70167
-230.0,65,13.825678
-71.0,27,13.841531
-108.0,41,13.864734
24.0,2,13.865734
6.0,8,13.870737
-8.0,11,13.878357
26.0,3,13.880357
18.0,4,13.882357
-11.0,12,13.889356
21.0,3,13.891356
-207.0,59,13.924353
23.0,4,13.92636
-155.0,35,14.028348
-28.0,16,14.038347
0.0,10,14.043859
-30.0,15,14.051858
-198.0,61,14.084896
-20.0,15,14.092992
-125.0,40,14.115027
-94.0,28,14.130093
2.0,6,14.134092
-12.0,14,14.142602
-53.0,21,14.1536
-5.0,10,14.159743
-63.0,21,14.24475
2.0,6,14.24875
-6.0,12,14.255749
-41.0,22,14.268747
32.0,1,14.268747
5.0,10,14.274747
-120.0,35,14.293807
-10.0,10,14.299806
-87.0,29,14.315804
1.0,8,14.320805
-98.0,26,14.335937
23.0,4,14.337937
32.0,1,14.338937
18.0,4,14.341448
13.0,4,14.343991
-102.0,39,14.381939
-131.0,32,14.408614
-26.0,17,14.546286
-73.0,21,14.56175
-107.0,34,14.589355
-40.0,20,14.60593
-45.0,20,14.621711
-44.0,18,14.636718
29.0,2,14.637714
14.0,7,14.644237
-3.0,11,14.652237
26.0,3,14.654235
1.0,8,14.660303
-1.0,12,14.669081
-32.0,14,14.67964
-89.0,33,14.706811
26.0,3,14.708809
-5.0,10,14.715971
2.0,6,14.72227
32.0,1,14.72327
-4.0,8,14.731792
-245.0,60,14.872168
23.0,4,14.87451
24.0,2,14.876511
