episode,return,length,mean_loss,epsilon,theta_norm
1,-227.0,69,19.094015093817227,0.99180625,4.25203375680753
2,-384.0,108,18.879978442633593,0.97898125,10.721857715882946
3,-164.0,48,24.39399879674117,0.97328125,13.404138501040569
4,-70.0,25,34.09937507867813,0.9703125,14.611843614544949
5,-475.0,120,13.086525027950605,0.9560625,21.56271972544298
6,17.0,1,669.4842529296875,0.95594375,21.604601108618045
7,-116.0,27,40.37367069410781,0.9527375,23.072723851715036
8,-525.0,120,16.383570255944505,0.9384875,29.87684172376188
9,-408.0,106,23.024354919018048,0.9259,36.11898130549746
10,-295.0,85,25.710863349016975,0.91580625,40.80140411354392
11,-208.0,61,28.418704346310896,0.9085625,44.085011287452836
12,-274.0,78,29.86227896580329,0.8993,48.492227147760495
13,-247.0,79,26.627225078548058,0.88991875,53.15782763311416
14,-93.0,31,62.438549545503435,0.8862375,54.814621226414694
15,-149.0,43,47.59464887148419,0.88113125,57.04194891083995
16,-1.0,7,250.83718810573086,0.8803,57.28909499436553
17,-428.0,116,28.3040738610615,0.866525,63.842750963487916
18,-193.0,51,55.51874808295101,0.86046875,66.71812883932157
19,-312.0,79,38.80802543555634,0.8510875,71.27134754211366
20,-415.0,120,6.806906596384943,0.8368375,77.80822967699979
21,-85.0,25,113.08522412538528,0.8338687499999999,79.33521702343954
22,-440.0,120,8.111606107108916,0.8196187500000001,85.92467517941223
23,-132.0,39,83.62460643979601,0.8149875,88.06133421646742
24,-32.0,9,369.28623161713284,0.81391875,88.49062284802413
25,-113.0,31,105.99882269290185,0.8102374999999999,90.14302600156459
26,-114.0,38,88.37636772545643,0.805725,92.0350752600605
27,-410.0,120,5.496849014951537,0.791475,98.3075605680649
28,-94.0,33,115.22443555137424,0.78755625,100.07659664133519
29,-95.0,35,103.29130399440017,0.7834,101.72501420803538
30,17.0,1,3904.0859375,0.78328125,101.74698868778009
31,-436.0,117,42.657083647882835,0.7693875,108.57518501380162
32,-199.0,48,94.40011154984434,0.7636875000000001,111.54465674884992
33,-28.0,16,263.5695418007672,0.7617875000000001,112.25592664267776
34,-199.0,63,72.98629840658535,0.75430625,115.51686243926684
35,-68.0,26,167.48267861161955,0.75121875,116.67701521253554
36,-192.0,54,89.59129540967169,0.74480625,119.48858102803695
37,-282.0,74,71.89187446391254,0.73601875,123.69214833041647
38,-220.0,60,92.68193923778212,0.72889375,126.83732507132906
39,-430.0,120,5.797262007774164,0.71464375,132.6669883021253
40,-277.0,84,70.81595208433767,0.70466875,137.15571243344186
41,-420.0,120,5.702647441726488,0.69041875,143.34868233284357
42,-57.0,19,327.05600500734226,0.6881625,144.45968160485126
43,8.0,4,1549.927282243967,0.6876875,144.60057459040402
44,-72.0,19,335.41513019564906,0.6854312499999999,145.46993823360035
45,1.0,3,2188.7169329325357,0.685075,145.61624839582635
46,9.0,2,3253.4605598449707,0.6848375,145.68898138457487
47,-116.0,42,140.26411527612004,0.6798500000000001,147.1893046598495
48,-98.0,36,175.67423827092475,0.675575,148.6347997978182
49,-289.0,83,86.09227187026654,0.66571875,152.89562859083807
50,-465.0,120,6.877707236308682,0.65146875,159.14969061684505
51,-136.0,52,142.53398337000712,0.64529375,161.56925457350326
52,-270.0,70,108.16698919159494,0.63698125,165.16832973799032
53,14.0,2,3834.9806167781353,0.6367437499999999,165.22935054417542
54,-97.0,34,231.4992671168464,0.63270625,166.56901077800305
55,-72.0,29,268.05639641706284,0.6292625000000001,167.73258688497296
56,-68.0,26,298.1907969524663,0.6261749999999999,168.82203902149448
57,-23.0,11,748.5905809294094,0.6248687500000001,169.29625129672837
58,-268.0,81,102.7839634412832,0.6152500000000001,172.79759203328038
59,-21.0,12,668.3001845820496,0.6138250000000001,173.20018110375923
60,-415.0,120,3.8887519916679594,0.599575,179.23293317897105
61,-268.0,81,112.7467483126179,0.58995625,183.46704670474887
62,-101.0,27,337.1658667119013,0.58675,184.93217189857745
63,-221.0,67,143.83572079163434,0.57879375,188.33714160050852
64,-188.0,66,142.65670647951916,0.57095625,191.1642424150631
65,-420.0,120,3.9858222666196523,0.55670625,197.1782337363204
66,-131.0,37,280.8016394100945,0.5523125,199.06838688312618
67,-9.0,8,1302.5660766270012,0.5513625,199.4063846771211
68,-212.0,59,178.64034254874213,0.54435625,202.45475960693045
69,-21.0,12,866.2587004721669,0.54293125,202.87584238118396
70,-134.0,48,212.46884110368168,0.53723125,204.46296845333632
71,-420.0,120,3.58856343824397,0.52298125,209.34872969521453
72,-349.0,108,109.27208811813465,0.5101562500000001,213.99456494996548
73,-21.0,12,962.1173663909236,0.5087312500000001,214.39541174690515
74,-227.0,74,157.0579049945809,0.49994375,217.3545850103006
75,-101.0,32,369.4069742760621,0.49614375,218.63095868094712
76,-283.0,91,137.85421113974854,0.4853375000000001,222.61394115570346
77,-19.0,13,923.8534008625609,0.48379375,222.99294937004174
78,5.0,5,2463.723512715101,0.48319999999999996,223.0983658823502
79,-50.0,20,614.0651406037621,0.48082500000000006,223.78538040804855
80,-10.0,10,1237.776810528338,0.47963750000000005,224.0468831726409
81,-297.0,84,153.13826050408673,0.4696625,227.756311657877
82,-98.0,31,415.06796598650755,0.46598125,229.0923923196709
83,-96.0,32,406.38457538210787,0.46218125,230.41978081454943
84,-159.0,53,241.12678522551607,0.4558875,232.44077706751455
85,-76.0,27,479.4589891880772,0.45268125000000003,233.31661444938936
86,-405.0,120,2.6954503143793165,0.43843125000000005,238.3105781131526
87,-377.0,119,120.04056715871748,0.4243,243.3868809696303
88,-7.0,9,1582.4262219167883,0.42323124999999995,243.6132468945398
89,-118.0,41,348.32548819972976,0.4183625000000001,244.96760787142858
90,-440.0,120,3.9352916191414504,0.4041125000000001,250.42688553747578
91,-205.0,65,232.71226564976746,0.39639375,253.20670363484652
92,-133.0,51,296.29206427440556,0.3903375,254.8368465496601
93,-46.0,22,691.3145317118192,0.3877250000000001,255.23437452173246
94,-283.0,91,176.52117221855949,0.3769187500000001,258.508273259774
95,-13.0,11,1427.1854668374765,0.3756125,258.7476109491158
96,-43.0,21,745.1538255140185,0.37311875000000005,259.1967798857173
97,-82.0,29,545.490813678845,0.3696750000000001,260.0824426083487
98,-224.0,78,208.54888651010324,0.3604125,262.60459969553085
99,-390.0,120,1.7725044268474448,0.34616250000000004,267.00798794230855
100,-57.0,24,700.4729039986463,0.3433125,267.88646878155305
101,-420.0,120,2.7968020055389693,0.32906250000000004,273.0199454710223
102,-49.0,23,754.1861523451946,0.3263312500000001,273.8091117685823
103,-209.0,68,260.9019812753549,0.31825625,276.3556500462764
104,-415.0,120,2.8614475847241314,0.30400625000000003,281.2571179654837
105,-375.0,120,1.0119993095038808,0.28975625000000005,285.34831374348437
106,-177.0,54,352.1939244233417,0.28334375,287.6081318391398
107,-49.0,18,1044.195416449168,0.28120625,288.42281246461766
108,-205.0,70,272.0509484811337,0.27289375000000005,290.4403176644042
109,-25.0,10,1915.0882775184757,0.27170625000000004,290.758954344058
110,-380.0,120,1.1413104116843897,0.25745625000000005,294.1199930513055
111,-22.0,14,1368.174304100901,0.25579375000000004,294.4238945593581
112,-16.0,12,1635.6809426412608,0.25436875000000003,294.5360095769276
113,-229.0,78,254.51261878547106,0.24510624999999997,296.33910843407085
114,-48.0,21,944.6128508022299,0.2426125,296.8416757612549
115,14.0,2,9913.201904426794,0.242375,296.8430772310515
116,5.0,5,3959.095359495282,0.24178125000000006,296.8135199498163
117,-400.0,120,1.9267457729695403,0.22753125000000007,300.2457522076707
118,-370.0,120,0.39897556022867015,0.2132812500000001,303.71520505442265
119,-415.0,120,1.752386419995067,0.19903125,308.24814349603145
120,-3.0,6,4207.793865297735,0.19831875,308.4533303941619
121,-10.0,10,2112.9715846251697,0.19713124999999998,308.5543598278106
122,-49.0,18,1175.1699369877654,0.19499375000000008,308.86648232893447
123,-410.0,120,1.9758544978530457,0.18074374999999998,312.55878822031224
124,-10.0,10,2167.2691169888944,0.17955625000000008,312.7685908243505
125,-62.0,24,899.7199588726993,0.17670625000000006,313.2600070727989
126,-4.0,8,2707.2574043503264,0.17575625000000006,313.31525532401065
127,-225.0,80,272.5170618764881,0.1662562500000001,314.6618162309339
128,-375.0,120,0.7100184431590606,0.15200625,317.29903827068244
129,-17.0,9,2491.654847683178,0.15093749999999995,317.4556809619258
130,-236.0,72,317.1530924673716,0.1423875,319.6104195931353
131,-250.0,90,253.1363907361377,0.13170000000000004,321.23602231264476
132,-40.0,20,1135.1349544682657,0.12932500000000002,321.52401980645243
133,-213.0,76,301.7730395390628,0.12029999999999996,322.4311760380035
134,-43.0,21,1089.439710291291,0.11780625,322.5984345901263
135,-375.0,120,0.8988680669552802,0.10355625000000002,325.0468956550731
136,-176.0,62,379.81399487838854,0.09619375000000008,326.42868071563504
137,-380.0,120,0.5059935987907617,0.08194375000000009,328.81188224614084
138,6.0,3,7952.262882272403,0.08158750000000003,328.89221021103555
139,-375.0,120,0.8911458358925302,0.06733750000000005,331.47750442149163
140,-183.0,66,364.05007067243,0.0595,332.53886051106866
141,-370.0,120,0.6849033531888078,0.050000000000000044,334.3793399251066
142,-1.0,7,3478.8256629583025,0.050000000000000044,334.4637382250877
143,-365.0,120,0.23175742087187245,0.050000000000000044,336.34995610041335
144,-151.0,57,433.96835642683794,0.050000000000000044,337.24166038613913
145,17.0,1,24845.55859375,0.050000000000000044,337.20858947022685
146,-365.0,120,0.39954981171370796,0.050000000000000044,338.62847797217233
147,-360.0,120,0.19275435035621438,0.050000000000000044,340.2064802715404
148,-365.0,120,0.3407185074621035,0.050000000000000044,341.8516331136945
149,11.0,3,8420.915783133978,0.050000000000000044,341.8682414779852
150,-380.0,120,0.37025937315581053,0.050000000000000044,343.49557629975385
151,-329.0,108,241.49718038719018,0.050000000000000044,345.5047541731517
152,-365.0,120,0.1784005747778186,0.050000000000000044,346.68461554595984
153,-375.0,120,0.7354805808417344,0.050000000000000044,348.35073471287524
154,-25.0,15,1750.2577102914142,0.050000000000000044,348.50952170457265
155,-249.0,88,299.4262371613295,0.050000000000000044,348.9478661365477
156,-385.0,120,1.1889961663555975,0.050000000000000044,350.6553072908636
157,-275.0,95,281.351412696585,0.050000000000000044,351.5002889401373
158,-370.0,120,0.48426823898334986,0.050000000000000044,352.203953697286
159,-1.0,7,3813.635520245115,0.050000000000000044,352.1753658069372
160,5.0,5,5357.436846937798,0.050000000000000044,352.07198638027137
161,-385.0,120,0.7215107197640463,0.050000000000000044,353.0961160753542
162,-365.0,120,0.2057448666387548,0.050000000000000044,353.84032636557976
163,-283.0,101,266.7439027791059,0.050000000000000044,354.07880037500126
164,-198.0,71,382.14480418910625,0.050000000000000044,354.3720458430659
165,-91.0,37,734.1223197200185,0.050000000000000044,354.00297381342716
166,-365.0,120,0.40857995135787256,0.050000000000000044,354.37168759474844
167,-360.0,120,0.1383182330231648,0.050000000000000044,354.6013717013796
168,-247.0,89,307.96506662626774,0.050000000000000044,354.6417095992799
169,-360.0,120,0.11653161813349773,0.050000000000000044,354.785091199588
170,-360.0,120,0.16839942234219052,0.050000000000000044,354.8706740666239
171,-96.0,37,733.0566382238113,0.050000000000000044,354.9303683911113
172,-4.0,8,3339.581226848066,0.050000000000000044,354.67227940910465
173,-176.0,62,435.65546912362333,0.050000000000000044,354.87267743163886
174,11.0,3,9010.455274045467,0.050000000000000044,354.7732550517302
175,-360.0,120,0.443259578277745,0.050000000000000044,354.126395382002
176,-360.0,120,0.17770686900670019,0.050000000000000044,354.1388543001177
177,-365.0,120,0.22590677472762763,0.050000000000000044,354.42660558993026
178,-252.0,89,303.35790581932406,0.050000000000000044,354.96409369470035
179,-193.0,71,384.0550640863104,0.050000000000000044,355.1234380465474
180,-360.0,120,0.3777698085041872,0.050000000000000044,354.723610496609
181,-365.0,120,0.203172603660884,0.050000000000000044,354.41383715756643
182,-136.0,52,521.7823212706224,0.050000000000000044,354.64422092781945
183,-370.0,120,0.13488355619871678,0.050000000000000044,354.76244252316224
184,-360.0,120,0.09764877264969982,0.050000000000000044,355.2270785620798
185,-360.0,120,0.3052615992627883,0.050000000000000044,355.2641182979221
186,-196.0,72,377.20401687206726,0.050000000000000044,355.42879583152796
187,-334.0,113,241.84675095967776,0.050000000000000044,355.5178551247462
188,-360.0,120,0.1433033675440432,0.050000000000000044,355.47028159010705
189,-365.0,120,0.1048122390289791,0.050000000000000044,355.6958079771253
190,-360.0,120,0.11523003993012632,0.050000000000000044,355.61961221753506
191,-365.0,120,0.1868005294740821,0.050000000000000044,355.5833784958178
192,-360.0,120,0.12538130684988574,0.050000000000000044,355.7335675667254
193,11.0,3,9063.073189338747,0.050000000000000044,355.7159209344586
194,17.0,1,27198.279296875,0.050000000000000044,355.65832444918254
195,-365.0,120,0.17450838818137224,0.050000000000000044,355.9170648216379
196,-365.0,120,0.17377943545775568,0.050000000000000044,356.05579136211225
197,-121.0,47,581.611875362075,0.050000000000000044,356.3243946444728
198,-375.0,120,0.16160533855242346,0.050000000000000044,355.94818355344927
199,-365.0,120,0.1055459965117431,0.050000000000000044,356.2915874848858
200,-76.0,32,865.8044912462719,0.050000000000000044,356.21198262060193
201,-365.0,120,0.1575553587579634,0.050000000000000044,356.43768082583523
202,-360.0,120,0.2816066567960661,0.050000000000000044,356.74812214817615
203,-10.0,10,2738.1535481254805,0.050000000000000044,356.7495784422877
204,-370.0,120,0.3054246414996063,0.050000000000000044,357.1280462330703
205,-365.0,120,0.14484825692488812,0.050000000000000044,357.3623041204122
206,-91.0,37,750.397048191847,0.050000000000000044,357.4125166124572
207,-360.0,120,0.12600234100827948,0.050000000000000044,357.3374958460139
208,14.0,2,13676.138151247054,0.050000000000000044,357.3063286593172
209,-360.0,120,0.054150349959187834,0.050000000000000044,356.9306436480342
210,-365.0,120,0.3181282380518193,0.050000000000000044,357.25206656155257
211,14.0,2,13495.101979482919,0.050000000000000044,357.23107236423317
212,-55.0,25,1087.1714087499306,0.050000000000000044,356.97716357282576
213,-304.0,108,256.17861039073347,0.050000000000000044,355.9693247405596
214,-360.0,120,0.38674580887309273,0.050000000000000044,355.4572978924473
215,-360.0,120,0.3684695097928246,0.050000000000000044,355.57819331688495
216,-370.0,120,0.27049552544097727,0.050000000000000044,355.91589596420107
217,-360.0,120,0.20016000310036663,0.050000000000000044,355.85642733411464
218,-360.0,120,0.07440373035497032,0.050000000000000044,355.8704392489632
219,-360.0,120,0.16814569590302805,0.050000000000000044,355.97173891511386
220,-360.0,120,0.16643024738295936,0.050000000000000044,355.6348856270993
221,-365.0,120,0.1297276665320775,0.050000000000000044,355.82665635812054
222,8.0,4,6744.7265203321,0.050000000000000044,355.77865199973706
223,-360.0,120,0.27068973711187333,0.050000000000000044,354.6003692538969
224,-52.0,24,1121.4067309902166,0.050000000000000044,354.66459177122545
225,-365.0,120,0.2723806200975863,0.050000000000000044,354.7941249425503
226,-365.0,120,0.21404765334640008,0.050000000000000044,355.3244061329731
227,-360.0,120,0.15106466480647213,0.050000000000000044,355.61346642105667
228,-297.0,104,261.18962591167656,0.050000000000000044,355.182116578946
229,-360.0,120,0.08212584950767148,0.050000000000000044,355.2819797797941
230,-226.0,82,332.9922341748862,0.050000000000000044,355.51511922842326
231,-360.0,120,0.0427697589310507,0.050000000000000044,355.71663472313185
232,-365.0,120,0.28067289814547014,0.050000000000000044,355.10642660862953
233,-58.0,26,1034.940844370473,0.050000000000000044,355.1813302297152
234,-360.0,120,0.4014799935782018,0.050000000000000044,354.56741359190073
235,-360.0,120,0.15346727838235286,0.050000000000000044,354.3237562156255
236,-360.0,120,0.08202310631750151,0.050000000000000044,354.7394014889663
237,-277.0,99,272.43573451383895,0.050000000000000044,354.8870033633945
