#{"t_start": 1763358739.3553784, "env_id": "GridWorldStatic-v0"}
r,l,t
-326.0,87,6.752479
21.0,3,6.756523
17.0,6,6.763664
-47.0,19,6.789021
-125.0,35,6.838825
-57.0,29,6.890586
-30.0,20,6.929541
-26.0,17,6.959462
32.0,1,6.961455
-211.0,62,7.444678
-59.0,23,7.481847
-51.0,22,7.515244
-6.0,12,7.530834
-425.0,100,7.694936
16.0,3,7.70359
-335.0,100,8.067461
-7.0,9,8.080465
24.0,2,8.083969
32.0,1,8.085968
24.0,2,8.088998
-99.0,33,8.142192
-344.0,93,8.274625
29.0,2,8.276624
-166.0,47,8.356162
-395.0,100,8.688447
-37.0,14,8.708444
20.0,5,8.715441
-41.0,17,8.738462
-356.0,92,8.867085
-22.0,14,8.884668
-6.0,12,8.904958
-45.0,15,8.929692
26.0,3,8.934578
-93.0,31,9.181241
-405.0,100,9.328604
17.0,6,9.337159
10.0,5,9.344165
29.0,2,9.346164
-455.0,100,9.481392
-140.0,50,9.778501
17.0,6,9.787493
-360.0,100,9.932466
-226.0,72,10.039465
1.0,8,10.051471
-191.0,57,10.333294
-204.0,58,10.438221
-48.0,21,10.47198
-49.0,23,10.503362
-365.0,90,10.637094
-126.0,37,10.693277
-35.0,15,10.715869
-450.0,100,11.044567
-260.0,75,11.144299
-30.0,20,11.167089
-57.0,24,11.196083
-435.0,100,11.516125
-178.0,61,11.598903
-260.0,75,11.722613
-16.0,12,11.740312
-42.0,19,11.769651
9.0,7,11.78112
-220.0,55,12.113019
-40.0,20,12.141019
-223.0,56,12.219516
11.0,8,12.229513
-256.0,72,12.341795
-276.0,77,12.687012
29.0,2,12.690421
-1.0,7,12.700827
-199.0,58,12.793299
-77.0,29,12.847718
-34.0,13,12.866873
-78.0,26,12.910359
26.0,3,12.915442
1.0,8,12.929409
-92.0,29,12.990228
0.0,10,13.008803
-381.0,97,13.394553
29.0,2,13.396553
-198.0,51,13.470599
-69.0,28,13.509317
-147.0,44,13.57306
-47.0,19,13.597012
-132.0,39,13.649829
-15.0,15,13.67563
-93.0,26,13.728381
2.0,11,13.981107
-203.0,61,14.082469
-198.0,56,14.172035
-249.0,68,14.29557
-63.0,26,14.338667
-249.0,68,14.689971
-72.0,24,14.724952
-71.0,32,14.773009
-1.0,7,14.795619
-31.0,17,14.8285
24.0,2,14.832609
9.0,7,14.843097
-90.0,25,14.878841
26.0,3,14.883847
-13.0,11,14.905136
26.0,3,14.908672
-13.0,11,14.926526
-37.0,19,14.952953
-254.0,78,15.483307
17.0,6,15.492819
21.0,3,15.496817
-186.0,52,15.570673
-62.0,24,15.606107
-54.0,23,15.639793
-89.0,33,15.684325
11.0,8,15.69832
-174.0,53,15.768827
-90.0,30,15.818967
-52.0,19,16.044188
3.0,9,16.057192
-9.0,13,16.075118
12.0,6,16.084115
2.0,6,16.092114
21.0,3,16.096113
32.0,1,16.097113
-70.0,30,16.139103
-56.0,17,16.161618
2.0,11,16.176617
-6.0,12,16.195008
-8.0,11,16.214061
9.0,7,16.224196
26.0,3,16.228196
1.0,8,16.240973
-99.0,33,16.293827
23.0,4,16.300122
-19.0,13,16.31612
-6.0,12,16.338115
12.0,6,16.347128
-124.0,43,16.425107
-9.0,13,16.656766
-148.0,41,16.7523
18.0,4,16.761453
-26.0,17,16.79404
-195.0,55,16.884468
-15.0,15,16.906492
18.0,4,16.913492
-219.0,58,17.011005
-35.0,20,17.041997
24.0,2,17.046004
18.0,4,17.05357
-109.0,43,17.310491
-26.0,17,17.334489
32.0,1,17.336551
-42.0,19,17.362069
-191.0,47,17.425055
-178.0,46,17.487891
29.0,2,17.490965
-57.0,19,17.512961
-47.0,19,17.53901
-119.0,38,17.591432
-22.0,14,17.607431
9.0,7,17.617036
-60.0,25,18.028992
-79.0,28,18.075826
-50.0,25,18.120818
-22.0,14,18.141338
14.0,7,18.152128
-13.0,11,18.169184
-244.0,58,18.282797
9.0,7,18.297077
-35.0,15,18.327315
21.0,3,18.333348
18.0,4,18.341358
26.0,3,18.347385
-47.0,19,18.387929
1.0,8,18.403417
-86.0,32,18.474408
-14.0,13,18.711086
-89.0,28,18.749821
5.0,10,18.764525
23.0,4,18.770563
-21.0,12,18.786987
23.0,4,18.791986
18.0,4,18.797985
32.0,1,18.798985
29.0,2,18.801984
-20.0,15,18.82198
21.0,3,18.827084
23.0,4,18.832285
-110.0,35,18.881256
0.0,10,18.89771
15.0,5,18.90409
4.0,7,18.915887
32.0,1,18.917888
-112.0,34,18.971078
24.0,2,18.97506
23.0,4,18.981065
1.0,8,18.995187
8.0,4,19.001903
-7.0,14,19.032172
-4.0,13,19.058461
-52.0,19,19.09858
-11.0,12,19.344828
32.0,1,19.346827
29.0,2,19.3501
17.0,6,19.359951
2.0,6,19.368463
-13.0,11,19.384226
9.0,7,19.393625
-34.0,13,19.416549
-34.0,18,19.445161
29.0,2,19.447348
-60.0,15,19.473745
5.0,10,19.489297
-19.0,13,19.510671
32.0,1,19.512669
24.0,2,19.517699
5.0,5,19.525691
-17.0,14,19.543692
23.0,4,19.548876
32.0,1,19.549876
-28.0,16,19.577011
12.0,6,19.587604
-52.0,19,19.618368
-7.0,9,19.630816
32.0,1,19.632823
29.0,2,19.63582
23.0,4,19.641149
3.0,9,19.655873
12.0,6,19.663384
-87.0,29,19.716476
2.0,6,19.729447
-54.0,23,19.982094
-38.0,16,20.007231
21.0,3,20.011229
-35.0,15,20.031223
14.0,7,20.041221
-28.0,16,20.064022
3.0,9,20.077661
-6.0,7,20.087655
-7.0,9,20.100667
-16.0,12,20.117851
11.0,8,20.130851
-31.0,17,20.156299
23.0,4,20.162297
-21.0,12,20.185628
-14.0,13,20.211618
13.0,4,20.220632
9.0,7,20.237123
-2.0,9,20.256598
14.0,7,20.269464
24.0,2,20.274124
-7.0,9,20.292919
29.0,2,20.296259
