#{"t_start": 1762881607.4003763, "env_id": "GridWorldMoving-v0"}
r,l,t
17.0,1,7.258906
17.0,1,7.261254
17.0,1,7.262253
17.0,1,7.264257
17.0,1,7.265255
17.0,1,7.267595
17.0,1,7.268594
17.0,1,7.270594
17.0,1,7.271594
17.0,1,7.272594
17.0,1,7.274596
17.0,1,7.276122
17.0,1,7.27741
17.0,1,7.279408
17.0,1,7.280416
17.0,1,7.282438
17.0,1,7.283471
17.0,1,7.28547
17.0,1,7.286469
17.0,1,7.28847
17.0,1,7.28947
17.0,1,7.29147
17.0,1,7.293472
17.0,1,7.295494
17.0,1,7.296494
17.0,1,7.298556
17.0,1,7.299556
17.0,1,7.301556
17.0,1,7.30381
17.0,1,7.30481
17.0,1,7.30581
17.0,1,7.30781
17.0,1,7.31027
17.0,1,7.311292
17.0,1,7.313288
17.0,1,7.314292
17.0,1,7.315295
17.0,1,7.317813
17.0,1,7.318813
17.0,1,7.320959
17.0,1,7.321958
17.0,1,7.323958
17.0,1,7.324959
17.0,1,7.326931
17.0,1,7.327948
17.0,1,7.32995
17.0,1,7.331948
17.0,1,7.332949
17.0,1,7.334949
17.0,1,7.336949
17.0,1,7.338461
17.0,1,7.340551
17.0,1,7.34155
17.0,1,7.343579
17.0,1,7.345551
17.0,1,7.34655
17.0,1,7.34755
17.0,1,7.34855
17.0,1,7.35055
17.0,1,7.352552
17.0,1,7.353551
17.0,1,7.35455
17.0,1,7.355552
17.0,1,7.35755
17.0,1,7.359552
17.0,1,7.36155
17.0,1,7.36355
17.0,1,7.364554
17.0,1,7.36555
17.0,1,7.367583
17.0,1,7.369546
17.0,1,7.37055
17.0,1,7.372573
17.0,1,7.374573
17.0,1,7.376573
17.0,1,7.377573
17.0,1,7.379573
17.0,1,7.380573
17.0,1,7.382573
17.0,1,7.383573
17.0,1,7.385573
17.0,1,7.386573
17.0,1,7.388573
17.0,1,7.389573
17.0,1,7.390573
17.0,1,7.392573
17.0,1,7.394573
17.0,1,7.395572
17.0,1,7.396573
17.0,1,7.398572
17.0,1,7.399573
17.0,1,7.401573
17.0,1,7.40261
17.0,1,7.40361
17.0,1,7.40561
17.0,1,7.406633
17.0,1,7.40961
17.0,1,7.410638
17.0,1,7.41261
17.0,1,7.41361
17.0,1,7.41561
17.0,1,7.41561
17.0,1,7.418184
17.0,1,7.419184
17.0,1,7.421193
17.0,1,7.423184
17.0,1,7.425184
17.0,1,7.427185
17.0,1,7.429184
17.0,1,7.431184
17.0,1,7.433185
17.0,1,7.435184
17.0,1,7.436184
17.0,1,7.437191
17.0,1,7.439184
17.0,1,7.440184
17.0,1,7.442185
17.0,1,7.444184
17.0,1,7.446201
17.0,1,7.447209
17.0,1,7.449193
17.0,1,7.451184
17.0,1,7.452184
17.0,1,7.454184
17.0,1,7.45519
17.0,1,7.457184
17.0,1,7.459184
17.0,1,7.461184
17.0,1,7.462184
17.0,1,7.464185
17.0,1,7.466184
17.0,1,7.467184
17.0,1,7.468184
17.0,1,7.470184
17.0,1,7.471184
17.0,1,7.472184
17.0,1,7.473184
17.0,1,7.476184
17.0,1,7.478184
17.0,1,7.479184
17.0,1,7.480184
17.0,1,7.482184
17.0,1,7.483184
17.0,1,7.484184
17.0,1,7.486184
17.0,1,7.487184
17.0,1,7.488184
17.0,1,7.489184
17.0,1,7.491184
17.0,1,7.493184
17.0,1,7.494184
17.0,1,7.496184
17.0,1,7.497184
17.0,1,7.499184
17.0,1,7.500184
17.0,1,7.501184
17.0,1,7.502184
17.0,1,7.503221
17.0,1,7.50522
17.0,1,7.50622
17.0,1,7.50822
17.0,1,7.509221
17.0,1,7.51122
17.0,1,7.51222
17.0,1,7.51322
17.0,1,7.51522
17.0,1,7.51622
17.0,1,7.517734
17.0,1,7.518788
17.0,1,7.519771
17.0,1,7.521771
17.0,1,7.522771
17.0,1,7.523771
17.0,1,7.526771
17.0,1,7.528778
17.0,1,7.529796
17.0,1,7.530771
17.0,1,7.532771
17.0,1,7.533771
17.0,1,7.534771
17.0,1,7.536771
17.0,1,7.537771
17.0,1,7.738048
17.0,1,7.739047
17.0,1,7.741047
17.0,1,7.743047
17.0,1,7.745048
17.0,1,7.747047
17.0,1,7.748048
17.0,1,7.750047
17.0,1,7.752047
17.0,1,7.754047
17.0,1,7.755047
17.0,1,7.757048
17.0,1,7.759047
17.0,1,7.760047
17.0,1,7.762048
17.0,1,7.764019
17.0,1,7.765019
17.0,1,7.766019
17.0,1,7.767019
17.0,1,7.769018
17.0,1,7.770018
17.0,1,7.771018
17.0,1,7.772018
17.0,1,7.774019
17.0,1,7.776026
17.0,1,7.777025
17.0,1,7.779026
17.0,1,7.780026
17.0,1,7.781026
17.0,1,7.783026
17.0,1,7.784023
17.0,1,7.786026
17.0,1,7.787025
17.0,1,7.789026
17.0,1,7.790026
17.0,1,7.792043
17.0,1,7.795027
17.0,1,7.796512
17.0,1,7.797497
17.0,1,7.799495
17.0,1,7.800495
17.0,1,7.802495
17.0,1,7.803515
17.0,1,7.80551
17.0,1,7.806509
17.0,1,7.808509
17.0,1,7.81059
17.0,1,7.811577
17.0,1,7.813573
17.0,1,7.814572
17.0,1,7.816571
17.0,1,7.81808
17.0,1,7.819091
17.0,1,7.82109
17.0,1,7.822091
17.0,1,7.824091
17.0,1,7.825094
17.0,1,7.827089
17.0,1,7.82809
17.0,1,7.83009
17.0,1,7.83209
17.0,1,7.833089
17.0,1,7.83409
17.0,1,7.83609
17.0,1,7.837089
17.0,1,7.839089
17.0,1,7.84009
17.0,1,7.842096
17.0,1,7.844091
17.0,1,7.845093
17.0,1,7.847092
17.0,1,7.848094
17.0,1,7.850092
17.0,1,7.851093
17.0,1,7.853099
17.0,1,7.854091
17.0,1,7.85609
17.0,1,7.857089
17.0,1,7.859592
17.0,1,7.860633
17.0,1,7.862697
17.0,1,7.863712
17.0,1,7.865721
17.0,1,7.867717
17.0,1,7.869718
17.0,1,7.870718
17.0,1,7.872718
17.0,1,7.874715
17.0,1,7.876863
17.0,1,7.877863
17.0,1,7.879863
