#{"t_start": 1763359924.0591898, "env_id": "GridWorldMoving-v0"}
r,l,t
-68.0,26,7.914822
32.0,1,7.916906
29.0,2,7.92103
-134.0,38,7.980363
-184.0,48,8.045917
21.0,3,8.049916
-41.0,17,8.075293
-5.0,10,8.087393
-22.0,14,8.112467
-146.0,42,8.178266
-141.0,42,8.254866
-31.0,17,8.665504
13.0,4,8.673521
-30.0,15,8.709014
16.0,3,8.719011
13.0,4,8.730023
-14.0,13,8.754292
0.0,10,8.772288
29.0,2,8.775303
-130.0,40,8.849371
-26.0,12,8.878857
-55.0,20,8.926422
1.0,8,8.948312
7.0,6,8.964084
-72.0,19,8.997299
18.0,4,9.002345
-124.0,38,9.074603
29.0,2,9.081709
17.0,6,9.094968
-28.0,11,9.12898
-162.0,44,9.897643
18.0,4,9.907639
-122.0,34,9.968928
-85.0,25,10.00892
-2.0,9,10.021917
-138.0,41,10.097238
20.0,5,10.11242
-4.0,8,10.137996
-120.0,40,10.210959
-28.0,16,10.237146
15.0,5,10.246423
-135.0,45,10.326183
-274.0,73,11.718406
18.0,4,11.725743
-34.0,18,11.762627
-43.0,16,11.796685
29.0,2,11.800618
-172.0,54,11.948857
32.0,1,11.951856
32.0,1,11.953856
-52.0,24,12.009109
-47.0,19,12.056633
-3.0,6,12.068628
24.0,2,12.072631
-31.0,17,12.104153
32.0,1,12.10616
4.0,7,12.119159
-65.0,25,12.172792
-2.0,9,13.022601
-25.0,15,13.050248
-80.0,30,13.110673
32.0,1,13.112672
-53.0,21,13.19018
-17.0,14,13.220559
-10.0,10,13.242617
-7.0,9,13.259613
-3.0,11,13.282988
-17.0,9,13.301721
-10.0,10,13.325901
-6.0,12,13.348982
20.0,5,13.359663
-49.0,18,13.400353
16.0,3,13.411809
-1.0,7,13.439336
-13.0,11,13.482328
9.0,7,13.507341
-142.0,44,13.634461
-53.0,16,14.072476
-10.0,10,14.091265
-95.0,35,14.153898
-99.0,33,14.218452
-30.0,15,14.256933
32.0,1,14.259934
-149.0,38,14.342474
-19.0,13,14.380017
26.0,3,14.387647
-52.0,19,14.430403
-129.0,38,14.51486
32.0,1,14.517861
-159.0,43,14.609814
23.0,4,14.96634
-123.0,41,15.056869
-13.0,11,15.077867
2.0,6,15.089864
15.0,5,15.10486
32.0,1,15.108872
3.0,9,15.123424
-64.0,23,15.164138
13.0,4,15.172614
-73.0,26,15.225914
4.0,7,15.240092
-43.0,21,15.281882
-101.0,27,15.337167
15.0,5,15.345924
16.0,3,15.353288
-151.0,37,15.433161
26.0,3,15.441163
-88.0,36,16.022106
-18.0,11,16.039178
16.0,3,16.044205
-55.0,15,16.069884
-135.0,35,16.127153
12.0,6,16.136154
6.0,8,16.147286
-26.0,17,16.172938
-53.0,21,16.206938
-25.0,10,16.223938
-50.0,20,16.253185
26.0,3,16.257209
-170.0,45,16.350658
-60.0,20,16.391866
-20.0,10,16.411225
32.0,1,16.413224
-106.0,37,16.881055
4.0,7,16.891017
-69.0,23,16.925862
15.0,5,16.932863
-18.0,11,16.947972
5.0,5,16.955972
-47.0,19,16.984873
32.0,1,16.986871
13.0,4,16.992906
15.0,5,17.00165
20.0,5,17.008666
20.0,5,17.016495
-89.0,23,17.056064
-236.0,57,17.151625
-164.0,53,17.291239
9.0,7,17.304342
-136.0,42,17.720128
-59.0,28,17.772656
-28.0,11,17.794654
-13.0,11,17.814663
26.0,3,17.820663
23.0,4,17.828199
