#{"t_start": 1762874908.3419864, "env_id": "CartPole-v1"}
r,l,t
14.0,14,5.864125
26.0,26,6.032367
47.0,47,6.17722
14.0,14,6.282509
24.0,24,6.306901
20.0,20,6.411391
21.0,21,6.514225
123.0,123,7.010606
45.0,45,7.144848
57.0,57,7.367452
252.0,252,8.324554
109.0,109,8.708861
91.0,91,9.077074
125.0,125,9.543403
176.0,176,10.235399
139.0,139,11.408523
108.0,108,11.776206
121.0,121,12.24555
130.0,130,12.711865
133.0,133,13.194881
347.0,347,14.329441
287.0,287,15.263602
500.0,500,18.580132
500.0,500,20.598625
500.0,500,24.118046
500.0,500,26.002931
500.0,500,28.29892
500.0,500,31.262505
500.0,500,33.151162
500.0,500,36.109244
500.0,500,38.000175
500.0,500,39.910812
500.0,500,42.762603
500.0,500,44.465804
500.0,500,47.038415
500.0,500,48.955581
500.0,500,50.839797
500.0,500,54.009073
500.0,500,56.035011
500.0,500,59.082679
500.0,500,61.166363
500.0,500,62.924896
