#{"t_start": 1762874908.3466084, "env_id": "CartPole-v1"}
r,l,t
18.0,18,5.863292
27.0,27,6.033186
12.0,12,6.04697
13.0,13,6.154727
20.0,20,6.17621
25.0,25,6.291838
31.0,31,6.40782
33.0,33,6.523307
20.0,20,6.64898
38.0,38,6.777338
51.0,51,6.91576
23.0,23,7.028636
18.0,18,7.133571
46.0,46,7.266256
75.0,75,7.591255
111.0,111,7.964787
144.0,144,8.571962
25.0,25,8.5951
62.0,62,8.85526
144.0,144,9.416373
162.0,162,10.043528
144.0,144,10.645915
133.0,133,11.670573
97.0,97,12.035609
123.0,123,12.490311
126.0,126,12.956407
143.0,143,13.503846
174.0,174,14.019064
185.0,185,14.623923
500.0,500,17.956093
500.0,500,19.81315
500.0,500,22.084769
500.0,500,25.255007
500.0,500,27.436388
500.0,500,30.583795
500.0,500,32.408209
500.0,500,34.28687
500.0,500,37.224701
500.0,500,39.209368
500.0,500,42.087153
500.0,500,43.846619
500.0,500,45.46545
500.0,500,48.096895
500.0,500,50.085341
500.0,500,53.218043
500.0,500,55.367219
500.0,500,57.256811
500.0,500,60.387309
500.0,500,62.228023
