#{"t_start": 1762874908.3558161, "env_id": "CartPole-v1"}
r,l,t
12.0,12,5.848143
13.0,13,5.861302
12.0,12,6.015894
37.0,37,6.150592
15.0,15,6.165942
22.0,22,6.27886
15.0,15,6.294102
19.0,19,6.397758
35.0,35,6.515459
20.0,20,6.641009
51.0,51,6.781965
40.0,40,6.999271
55.0,55,7.142226
114.0,114,7.592707
34.0,34,7.716757
110.0,110,8.081302
95.0,95,8.469275
131.0,131,8.970081
34.0,34,9.08491
120.0,120,9.546265
142.0,142,10.200135
139.0,139,11.28104
117.0,117,11.754267
124.0,124,12.226727
127.0,127,12.689008
155.0,155,13.197133
162.0,162,13.709062
262.0,262,14.604298
135.0,135,15.013209
500.0,500,18.327979
500.0,500,20.329119
500.0,500,23.860298
500.0,500,25.741936
500.0,500,27.992563
500.0,500,31.029428
500.0,500,32.858989
500.0,500,35.866427
500.0,500,37.67949
500.0,500,39.656383
500.0,500,42.528455
500.0,500,44.253281
500.0,500,46.806836
500.0,500,48.688138
500.0,500,50.563745
500.0,500,53.691906
500.0,500,55.790338
500.0,500,58.839391
500.0,500,60.911233
500.0,500,62.685919
