#{"t_start": 1762874908.348705, "env_id": "CartPole-v1"}
r,l,t
24.0,24,5.867002
30.0,30,6.041468
34.0,34,6.171809
15.0,15,6.278043
19.0,19,6.297185
21.0,21,6.402843
19.0,19,6.503281
66.0,66,6.76754
52.0,52,6.905493
35.0,35,7.030794
19.0,19,7.138324
22.0,22,7.247383
94.0,94,7.589353
54.0,54,7.736064
85.0,85,8.072807
78.0,78,8.342081
117.0,117,8.843234
123.0,123,9.30134
119.0,119,9.769373
138.0,138,10.376402
122.0,122,11.405086
64.0,64,11.644704
101.0,101,12.011249
110.0,110,12.368474
166.0,166,12.960723
286.0,286,13.923604
285.0,285,14.83852
500.0,500,18.19649
500.0,500,20.182977
500.0,500,23.628006
500.0,500,25.604847
500.0,500,27.748545
500.0,500,30.810552
500.0,500,32.736543
500.0,500,35.647928
500.0,500,37.502397
500.0,500,39.536125
500.0,500,42.318169
500.0,500,44.131238
500.0,500,46.612374
500.0,500,48.356493
500.0,500,50.421556
500.0,500,53.47388
500.0,500,55.635585
500.0,500,58.687254
500.0,500,60.674701
500.0,500,62.561897
