#{"t_start": 1762874908.3508298, "env_id": "CartPole-v1"}
r,l,t
48.0,48,6.032687
32.0,32,6.160949
24.0,24,6.277074
30.0,30,6.392543
16.0,16,6.407166
15.0,15,6.504349
14.0,14,6.519244
73.0,73,6.788099
28.0,28,6.903523
29.0,29,7.022385
86.0,86,7.362286
69.0,69,7.601984
142.0,142,8.088238
67.0,67,8.447247
142.0,142,8.959691
155.0,155,9.536901
130.0,130,10.042609
127.0,127,10.628103
122.0,122,11.641433
112.0,112,12.019901
54.0,54,12.239297
108.0,108,12.598697
176.0,176,13.30028
142.0,142,13.706207
137.0,137,14.128066
280.0,280,15.038512
500.0,500,18.434999
500.0,500,20.346498
500.0,500,23.876368
500.0,500,25.854753
500.0,500,28.010397
500.0,500,31.044232
500.0,500,32.972629
500.0,500,35.882522
500.0,500,37.836196
500.0,500,39.673321
500.0,500,42.543401
500.0,500,44.338486
500.0,500,46.823082
500.0,500,48.708202
500.0,500,50.679315
500.0,500,53.708631
500.0,500,55.902682
500.0,500,58.859429
500.0,500,60.927125
500.0,500,62.783803
