#{"t_start": 1762874908.3532534, "env_id": "CartPole-v1"}
r,l,t
10.0,10,5.848364
23.0,23,6.014769
24.0,24,6.040505
41.0,41,6.268114
17.0,17,6.285389
18.0,18,6.389152
28.0,28,6.497531
17.0,17,6.515539
20.0,20,6.641193
13.0,13,6.654995
43.0,43,6.787893
34.0,34,6.90924
25.0,25,7.024203
26.0,26,7.138182
40.0,40,7.263549
76.0,76,7.59007
136.0,136,8.070534
100.0,100,8.463542
106.0,106,8.854002
132.0,132,9.402123
189.0,189,10.069305
136.0,136,11.273164
49.0,49,11.418495
125.0,125,11.891209
113.0,113,12.343833
109.0,109,12.710284
135.0,135,13.196168
132.0,132,13.608456
203.0,203,14.30495
242.0,242,15.039401
500.0,500,18.436872
500.0,500,20.453608
500.0,500,23.877999
500.0,500,25.85717
500.0,500,28.013151
500.0,500,31.046241
500.0,500,32.974479
500.0,500,35.883731
500.0,500,37.84036
500.0,500,39.757167
500.0,500,42.544611
500.0,500,44.339455
500.0,500,46.824926
500.0,500,48.711117
500.0,500,50.681695
500.0,500,53.711099
500.0,500,55.904769
500.0,500,58.948521
500.0,500,60.928429
500.0,500,62.786331
