#{"t_start": 1763327215.4783542, "env_id": "GridWorldMoving-v0"}
r,l,t
-84.0,23,8.747973
-83.0,26,8.766982
6.0,8,8.771981
-28.0,16,8.783989
1.0,8,8.788989
-51.0,27,8.80851
-51.0,17,8.910678
-60.0,20,8.924676
8.0,9,8.931675
-2.0,9,8.937677
-85.0,25,8.955672
1.0,8,8.960671
12.0,6,8.964671
26.0,3,8.967552
-21.0,12,8.976561
-57.0,19,8.990236
-355.0,80,9.047676
24.0,2,9.049674
-24.0,18,9.062673
-145.0,50,9.208791
-8.0,11,9.21779
-64.0,23,9.236119
-7.0,9,9.243723
-27.0,14,9.255511
-100.0,35,9.284187
-47.0,19,9.299783
-10.0,10,9.308384
6.0,8,9.31452
20.0,5,9.317519
-8.0,11,9.324963
18.0,4,9.32937
-104.0,33,9.353833
-53.0,21,9.368834
-39.0,18,9.382318
-18.0,11,9.390317
7.0,6,9.394326
-81.0,22,9.49399
-83.0,31,9.515736
-9.0,13,9.525238
-49.0,18,9.538257
6.0,8,9.543733
-125.0,40,9.572331
-117.0,39,9.600336
-34.0,18,9.612844
-33.0,16,9.62422
18.0,4,9.627219
-4.0,8,9.632218
-96.0,37,9.658473
-19.0,13,9.756058
-21.0,12,9.764061
5.0,10,9.772056
-117.0,39,9.799057
-58.0,21,9.815029
29.0,2,9.816029
23.0,4,9.819028
-18.0,11,9.827357
-84.0,33,9.850353
-44.0,18,9.863351
13.0,4,9.865351
32.0,1,9.86635
26.0,3,9.86835
2.0,6,9.873349
-56.0,22,9.888705
-86.0,27,9.907218
-5.0,10,9.914217
0.0,10,9.921216
-179.0,58,10.063272
-55.0,25,10.082653
-11.0,12,10.091692
-123.0,36,10.115634
-48.0,21,10.130702
-35.0,20,10.14668
-74.0,23,10.163056
26.0,3,10.165056
-9.0,13,10.175055
-6.0,12,10.183061
32.0,1,10.184061
-344.0,93,10.343531
-233.0,66,10.391368
-56.0,22,10.407887
26.0,3,10.409886
-86.0,22,10.426005
23.0,4,10.429004
-100.0,30,10.450213
-126.0,42,10.480802
-20.0,10,10.487801
-159.0,48,10.617459
15.0,5,10.621457
14.0,7,10.62646
-7.0,9,10.633941
8.0,9,10.640935
-44.0,18,10.653713
-126.0,42,10.685654
6.0,8,10.692663
-25.0,15,10.704372
29.0,2,10.705371
15.0,5,10.709364
-29.0,13,10.72085
29.0,2,10.722444
-67.0,24,10.741568
29.0,2,10.743154
-162.0,49,10.776752
-10.0,10,10.876302
7.0,6,10.881356
-30.0,20,10.896425
-8.0,11,10.905601
-30.0,15,10.916658
-49.0,23,10.933658
-47.0,19,10.947006
-84.0,33,10.967908
9.0,7,10.972908
-49.0,23,10.986401
-76.0,27,11.005967
26.0,3,11.008478
-62.0,24,11.025533
29.0,2,11.026536
-6.0,12,11.036319
-435.0,100,11.232595
26.0,3,11.235606
-64.0,23,11.254171
-12.0,14,11.266652
2.0,6,11.271656
-189.0,53,11.311776
-327.0,79,11.368623
32.0,1,11.368623
29.0,2,11.370621
23.0,4,11.373645
-275.0,70,11.512163
26.0,3,11.514168
8.0,4,11.517162
-75.0,25,11.536172
-221.0,67,11.583618
-159.0,48,11.618676
23.0,4,11.621675
32.0,1,11.621675
-11.0,12,11.630692
1.0,8,11.636691
-3.0,11,11.643911
-56.0,22,11.750047
-385.0,100,11.818191
-18.0,11,11.825201
1.0,8,11.830272
20.0,5,11.834291
-131.0,42,11.859802
13.0,4,11.861814
2.0,11,11.868813
-308.0,81,12.040542
-203.0,51,12.078215
29.0,2,12.079216
-197.0,59,12.11962
11.0,8,12.125622
29.0,2,12.127619
-35.0,20,12.142093
-230.0,65,12.189445
-7.0,14,12.198453
-34.0,13,12.295789
-10.0,10,12.303285
-118.0,36,12.328212
-37.0,14,12.338338
-28.0,21,12.354602
-24.0,13,12.364074
-10.0,10,12.371082
-109.0,28,12.392125
-131.0,32,12.415334
-94.0,28,12.43563
29.0,2,12.43663
-9.0,13,12.446659
-16.0,12,12.454667
-66.0,22,12.470665
-118.0,36,12.587075
-219.0,68,12.634818
-104.0,38,12.661996
-135.0,35,12.687475
20.0,5,12.691474
-143.0,36,12.716992
-72.0,24,12.733421
-3.0,11,12.741421
-24.0,18,12.846536
-11.0,12,12.855536
-309.0,73,12.917987
32.0,1,12.918994
26.0,3,12.921939
-8.0,11,12.933221
-71.0,27,12.956674
-95.0,30,12.981041
15.0,5,12.985272
15.0,5,12.989678
-276.0,77,13.053122
8.0,9,13.058426
-4.0,13,13.171461
-74.0,28,13.193896
24.0,2,13.195902
-49.0,18,13.209406
-3.0,11,13.217463
-310.0,75,13.271134
-88.0,26,13.289141
16.0,3,13.292288
-59.0,23,13.308291
-21.0,17,13.319801
10.0,5,13.324039
-122.0,39,13.443816
9.0,7,13.448816
-86.0,32,13.471812
-149.0,33,13.495054
14.0,7,13.500053
-10.0,15,13.511054
-101.0,32,13.533494
29.0,2,13.535497
4.0,7,13.540069
-65.0,25,13.558487
14.0,7,13.563485
-19.0,13,13.573483
-29.0,18,13.585483
17.0,6,13.59067
11.0,8,13.59577
-35.0,20,13.607836
29.0,2,13.608835
10.0,5,13.612347
-10.0,10,13.618355
-24.0,18,13.724752
29.0,2,13.725749
26.0,3,13.728137
-63.0,21,13.743143
-9.0,8,13.749142
-85.0,30,13.770587
-91.0,32,13.793108
-59.0,28,13.809614
-34.0,18,13.820619
-344.0,83,13.871614
-81.0,27,13.982126
-5.0,10,13.989125
32.0,1,13.990125
-9.0,8,13.995242
-269.0,78,14.0525
29.0,2,14.0545
-31.0,17,14.066382
-75.0,20,14.08138
24.0,2,14.08238
-25.0,15,14.093378
-123.0,36,14.117898
-83.0,31,14.139895
-29.0,18,14.15293
-33.0,16,14.253091
-66.0,22,14.26709
26.0,3,14.269089
-103.0,31,14.292087
-52.0,14,14.30209
-84.0,23,14.3186
-120.0,35,14.343884
-147.0,34,14.36788
-2.0,9,14.374883
-60.0,25,14.392877
-48.0,16,14.40388
16.0,3,14.405879
-103.0,31,14.427394
-17.0,14,14.528897
29.0,2,14.530892
-159.0,48,14.565239
-219.0,63,14.610535
26.0,3,14.613541
20.0,5,14.61654
-371.0,92,14.681868
5.0,10,14.688867
-52.0,19,14.702953
-8.0,11,14.80229
-86.0,27,14.8218
-42.0,14,14.832188
-27.0,14,14.842422
-15.0,15,14.853337
-169.0,48,14.893428
-14.0,13,14.903509
-390.0,100,14.976592
17.0,6,14.981587
26.0,3,14.98396
-81.0,32,15.132601
-70.0,25,15.15819
-77.0,34,15.188899
-1.0,7,15.194894
-23.0,16,15.206581
-19.0,13,15.217435
32.0,1,15.218435
-48.0,26,15.236511
-32.0,14,15.24685
-10.0,10,15.253849
-74.0,28,15.273851
23.0,4,15.27585
23.0,4,15.279745
8.0,4,15.282034
-44.0,13,15.292049
-59.0,28,15.31213
-11.0,12,15.409047
9.0,7,15.414557
-52.0,24,15.433255
7.0,6,15.437329
-38.0,16,15.450136
-1.0,12,15.459136
20.0,5,15.462135
15.0,5,15.466133
-51.0,22,15.482142
-19.0,18,15.495644
-9.0,8,15.501691
18.0,4,15.504691
-12.0,14,15.515444
-210.0,55,15.555772
12.0,6,15.559766
24.0,2,15.561765
-268.0,76,15.711899
-71.0,22,15.727517
2.0,11,15.735525
-116.0,42,15.766338
-163.0,41,15.797732
-5.0,10,15.804731
-3.0,11,15.813243
-18.0,16,15.825241
-82.0,34,15.849238
29.0,2,15.851242
-8.0,11,15.859237
20.0,5,15.863236
18.0,4,15.866236
3.0,9,15.873235
-6.0,7,15.978491
29.0,2,15.980489
23.0,4,15.98349
-117.0,39,16.012773
-5.0,10,16.020781
-179.0,53,16.060522
-38.0,21,16.075434
-45.0,20,16.08982
10.0,5,16.093916
18.0,4,16.096925
-8.0,11,16.104925
-18.0,16,16.116507
-95.0,25,16.134639
