#{"t_start": 1763034752.2000313, "env_id": "GridWorldStatic-v0"}
r,l,t
-26.0,12,18.929098
-2.0,9,18.940106
-7.0,9,18.952199
29.0,2,18.954194
18.0,4,18.959188
17.0,6,18.967184
-29.0,18,18.989659
29.0,2,18.991659
20.0,5,19.189627
21.0,3,19.193625
26.0,3,19.198173
10.0,5,19.205307
12.0,6,19.213982
11.0,8,19.224504
10.0,5,19.231782
-40.0,15,19.255819
-30.0,15,19.284733
29.0,2,19.288781
32.0,1,19.290593
-16.0,12,19.31251
-11.0,12,19.33656
23.0,4,19.344365
26.0,3,19.349428
3.0,9,19.364071
-3.0,11,19.379751
23.0,4,19.385754
29.0,2,19.389757
1.0,8,19.401516
29.0,2,19.404515
-13.0,11,19.417711
8.0,9,19.427722
26.0,3,19.431722
26.0,3,19.435723
17.0,6,19.442248
-5.0,10,19.453502
-6.0,12,19.468524
29.0,2,19.470524
23.0,4,19.475524
20.0,5,19.484524
-16.0,12,19.501524
12.0,6,19.509524
12.0,6,19.518524
23.0,4,19.523524
23.0,4,19.53056
32.0,1,19.531561
29.0,2,19.53456
11.0,8,19.546135
11.0,8,19.558112
15.0,5,19.564115
15.0,5,19.74946
11.0,8,19.761938
26.0,3,19.766987
13.0,4,19.772316
2.0,6,19.7814
26.0,3,19.786668
-18.0,11,19.803084
1.0,8,19.815394
1.0,8,19.827528
29.0,2,19.830682
14.0,7,19.843604
23.0,4,19.849426
4.0,7,19.858734
32.0,1,19.859735
23.0,4,19.865816
32.0,1,19.867814
24.0,2,19.870812
16.0,3,19.874817
5.0,10,19.888813
-1.0,7,19.897813
4.0,7,19.908136
10.0,5,19.914137
26.0,3,19.918426
-49.0,13,19.93679
-3.0,6,19.943316
20.0,5,19.949441
4.0,7,19.957463
-21.0,12,19.970891
-2.0,9,19.981149
5.0,10,19.992304
29.0,2,19.995925
32.0,1,19.996925
-3.0,11,20.010171
6.0,8,20.020609
7.0,6,20.027824
17.0,6,20.034849
11.0,8,20.044955
3.0,9,20.056429
18.0,4,20.061967
5.0,10,20.07443
-8.0,11,20.089862
