#{"t_start": 1763361708.8632033, "env_id": "GridWorldMoving-v0"}
r,l,t
-158.0,41,16.625944
-8.0,11,16.64156
-107.0,29,16.675558
18.0,4,16.679558
23.0,4,16.684558
-103.0,36,16.726567
-56.0,17,16.747624
-81.0,27,16.781317
-116.0,37,17.014709
10.0,5,17.021392
-132.0,29,17.056976
29.0,2,17.059976
-245.0,60,17.138523
-396.0,97,17.257937
-15.0,10,17.270033
-48.0,26,17.514394
-55.0,25,17.553933
26.0,3,17.558936
-35.0,15,17.581043
-249.0,63,17.682136
-53.0,21,17.710232
-32.0,19,17.733768
29.0,2,17.736309
-185.0,50,17.804879
-163.0,51,18.057829
-19.0,13,18.076827
5.0,10,18.090825
-11.0,12,18.107823
-28.0,16,18.129857
-7.0,9,18.143437
-319.0,88,18.259035
12.0,6,18.266035
-195.0,60,18.343612
-23.0,16,18.364609
-70.0,25,18.581888
17.0,6,18.590887
-27.0,19,18.617884
18.0,4,18.62292
15.0,5,18.629919
-185.0,50,18.700462
29.0,2,18.703461
-125.0,35,18.753067
9.0,7,18.762066
7.0,6,18.771065
10.0,5,18.778064
-106.0,37,18.882501
-140.0,45,18.978476
23.0,4,18.983465
-6.0,12,18.997938
6.0,8,19.007827
-35.0,15,19.186064
-27.0,19,19.207259
32.0,1,19.209259
9.0,7,19.217257
-310.0,85,19.318977
-94.0,33,19.359505
-97.0,24,19.388501
8.0,9,19.3985
9.0,7,19.406499
-136.0,42,19.457109
7.0,6,19.464363
-221.0,62,19.733043
9.0,7,19.743593
3.0,9,19.759591
-105.0,35,19.816585
-143.0,46,19.888837
-125.0,40,19.936483
7.0,6,19.943653
-68.0,31,19.980245
0.0,10,19.991481
-79.0,28,20.026893
-2.0,9,20.210083
32.0,1,20.212083
-175.0,45,20.269818
24.0,2,20.271818
-71.0,22,20.296815
-137.0,39,20.34333
-11.0,12,20.357328
13.0,4,20.361328
-71.0,27,20.395324
14.0,7,20.404324
7.0,6,20.410488
-245.0,60,20.478477
11.0,8,20.491508
-34.0,18,20.690813
18.0,4,20.695816
-209.0,63,20.788305
-77.0,24,20.819303
23.0,4,20.825309
18.0,4,20.831307
-67.0,29,20.869465
-51.0,22,20.896497
32.0,1,20.898497
-6.0,12,20.911953
11.0,8,20.921952
-39.0,18,20.942481
-156.0,47,20.997756
-102.0,29,21.215863
7.0,6,21.223868
-32.0,19,21.250389
-23.0,11,21.26638
4.0,7,21.275378
-172.0,44,21.334144
-17.0,14,21.353652
-37.0,19,21.37965
-153.0,41,21.429503
29.0,2,21.43158
-101.0,27,21.468845
6.0,8,21.479705
-272.0,74,21.738652
-19.0,13,21.757353
-137.0,39,21.81329
23.0,4,21.818292
-32.0,14,21.837713
-47.0,19,21.863646
-94.0,33,21.908104
-110.0,40,21.960504
23.0,4,21.96561
-97.0,24,22.001965
1.0,8,22.013052
11.0,8,22.026651
18.0,4,22.043327
7.0,6,22.060488
18.0,4,22.067981
-49.0,18,22.296641
-66.0,27,22.332677
10.0,5,22.337676
8.0,9,22.348188
-136.0,37,22.390183
-134.0,43,22.445693
-24.0,13,22.463768
-219.0,68,22.544116
-440.0,100,22.8424
-90.0,35,22.886449
26.0,3,22.891578
-214.0,53,22.967894
-144.0,43,23.019836
-276.0,72,23.26386
-43.0,16,23.28486
21.0,3,23.289857
-192.0,59,23.3675
-37.0,19,23.392543
14.0,7,23.402542
15.0,5,23.408541
-62.0,19,23.435159
-2.0,9,23.451132
-5.0,10,23.463129
32.0,1,23.464129
14.0,7,23.472144
-7.0,9,23.482307
-200.0,45,23.535281
-103.0,36,23.58785
-91.0,37,23.84015
-414.0,98,23.98126
-49.0,23,24.012849
26.0,3,24.018325
-161.0,42,24.070764
23.0,4,24.075763
29.0,2,24.077759
29.0,2,24.080801
26.0,3,24.0848
-2.0,9,24.094799
12.0,6,24.101799
-21.0,17,24.122766
-7.0,9,24.133017
-153.0,46,24.361802
-24.0,13,24.383041
-256.0,57,24.475037
15.0,5,24.484898
-37.0,19,24.512957
32.0,1,24.51396
-64.0,23,24.541259
-43.0,16,24.559956
-4.0,8,24.568955
-8.0,11,24.581975
-37.0,14,24.599319
18.0,4,24.605372
32.0,1,24.606361
-38.0,16,24.624588
-126.0,42,24.838268
10.0,5,24.845841
-33.0,16,24.867839
26.0,3,24.871839
-30.0,15,24.892836
32.0,1,24.893836
-192.0,59,24.974414
-25.0,15,24.995412
-169.0,48,25.054242
-1.0,7,25.062241
-25.0,15,25.079239
-49.0,23,25.106236
29.0,2,25.109236
7.0,6,25.116235
-37.0,19,25.139269
-435.0,100,25.460521
-92.0,29,25.49851
-53.0,21,25.521507
-37.0,19,25.544027
-20.0,15,25.560025
-41.0,12,25.574024
32.0,1,25.575024
-212.0,64,25.648157
-23.0,16,25.858221
-39.0,18,25.880219
-4.0,8,25.889218
-27.0,19,25.911215
-21.0,12,25.927395
-69.0,23,25.957917
-5.0,10,25.972909
-17.0,14,25.991907
-40.0,20,26.015912
29.0,2,26.018912
-181.0,52,26.082482
9.0,7,26.090482
-222.0,64,26.333148
-110.0,35,26.381962
-50.0,20,26.408959
-306.0,77,26.506491
-191.0,52,26.571054
32.0,1,26.572053
-128.0,31,26.608037
3.0,9,26.619295
-4.0,8,26.631956
-5.0,10,26.652449
-162.0,44,26.898073
-26.0,12,26.912071
-51.0,22,26.939164
-28.0,16,26.960695
-19.0,18,26.983693
-71.0,27,27.020688
-148.0,36,27.065228
-60.0,25,27.093225
-64.0,23,27.119222
23.0,4,27.124221
32.0,1,27.125221
-75.0,20,27.149761
-27.0,14,27.166759
29.0,2,27.345768
15.0,5,27.352772
-206.0,52,27.423495
-84.0,28,27.46201
-189.0,48,27.525476
-5.0,10,27.536481
8.0,4,27.541481
-19.0,13,27.55701
13.0,4,27.562009
-65.0,25,27.592006
20.0,5,27.598005
14.0,7,27.607004
-4.0,8,27.617004
-64.0,23,27.647897
32.0,1,27.648919
-9.0,13,27.666764
-97.0,34,27.951359
15.0,5,27.958358
12.0,6,27.966362
7.0,6,27.974356
-15.0,10,27.989447
-139.0,43,28.053495
-250.0,70,28.148977
18.0,4,28.154976
-24.0,13,28.170974
12.0,6,28.178528
-189.0,48,28.250137
-20.0,15,28.274348
-71.0,27,28.513563
11.0,8,28.525918
-2.0,9,28.539045
-39.0,18,28.564898
-166.0,47,28.632461
32.0,1,28.633687
-15.0,15,28.653928
-415.0,100,28.800476
26.0,3,28.804493
-55.0,20,28.829074
-53.0,26,29.09459
-147.0,49,29.167656
20.0,5,29.174732
26.0,3,29.180177
-94.0,33,29.223719
29.0,2,29.226718
-27.0,19,29.253625
-8.0,11,29.267621
13.0,4,29.273875
5.0,10,29.286581
-51.0,17,29.307421
29.0,2,29.309421
-61.0,27,29.348476
24.0,2,29.350948
-34.0,18,29.374497
-103.0,36,29.425259
-32.0,19,29.643889
-31.0,17,29.669408
-60.0,20,29.698242
23.0,4,29.704541
-350.0,90,29.826299
26.0,3,29.829298
17.0,6,29.83631
-100.0,30,29.870842
-1.0,7,29.878841
23.0,4,29.883842
-15.0,15,29.900838
-41.0,22,29.926836
29.0,2,29.928857
26.0,3,29.933848
-183.0,51,30.18586
-20.0,15,30.209655
15.0,5,30.216648
-146.0,47,30.299583
12.0,6,30.309582
17.0,6,30.32158
-175.0,50,30.389647
-39.0,18,30.410484
16.0,3,30.413472
-13.0,16,30.432232
-35.0,20,30.456368
-212.0,64,30.725602
-256.0,67,30.816276
29.0,2,30.818275
6.0,8,30.828491
8.0,9,30.838511
-139.0,43,30.894639
-125.0,40,30.94562
10.0,5,30.951673
32.0,1,30.952862
-1.0,7,30.963288
29.0,2,30.966287
-18.0,16,30.986285
-23.0,16,31.007282
-31.0,17,31.286546
-79.0,28,31.327428
-58.0,21,31.355845
-23.0,16,31.374851
-22.0,14,31.391058
-166.0,47,31.455595
32.0,1,31.457567
12.0,6,31.464572
-9.0,8,31.47498
-80.0,25,31.504838
-12.0,9,31.516563
29.0,2,31.519567
26.0,3,31.522859
5.0,5,31.529253
4.0,7,31.537326
29.0,2,31.540301
20.0,5,31.546126
21.0,3,31.550714
-60.0,20,31.5756
18.0,4,31.581203
20.0,5,31.588253
32.0,1,31.589254
-34.0,18,31.613016
-33.0,16,31.804658
-106.0,37,31.850235
-130.0,35,31.895227
-122.0,39,31.94805
21.0,3,31.953063
11.0,8,31.964057
-50.0,25,31.99757
-213.0,51,32.061179
-6.0,7,32.071178
21.0,3,32.075181
-40.0,20,32.100175
-136.0,42,32.342247
-24.0,13,32.360352
-37.0,14,32.378714
-47.0,19,32.404153
-93.0,31,32.449515
-49.0,18,32.472335
-130.0,40,32.523923
9.0,7,32.532922
-16.0,12,32.548056
29.0,2,32.550985
-29.0,13,32.567907
-37.0,19,32.593191
23.0,4,32.599206
32.0,1,32.600638
-122.0,34,32.647809
-35.0,15,32.863993
-13.0,11,32.878991
-19.0,13,32.897323
32.0,1,32.898323
-59.0,23,32.928418
-80.0,30,32.970112
-1.0,7,32.982111
18.0,4,32.988111
-136.0,47,33.052446
29.0,2,33.054444
-55.0,20,33.082053
-30.0,15,33.104115
21.0,3,33.108208
-26.0,12,33.129094
-72.0,29,33.171378
-45.0,15,33.194468
-86.0,22,33.420206
3.0,9,33.434563
-16.0,12,33.452483
-70.0,30,33.503963
15.0,5,33.511962
-189.0,48,33.583166
-38.0,16,33.605018
8.0,9,33.615736
6.0,8,33.625788
-106.0,32,33.662412
-63.0,21,33.688547
-51.0,17,33.708987
29.0,2,33.712008
20.0,5,33.718035
-23.0,11,33.732098
-18.0,11,33.745178
32.0,1,33.746178
6.0,8,33.959934
32.0,1,33.961934
-332.0,89,34.080352
24.0,2,34.083352
-14.0,13,34.098342
20.0,5,34.104341
-28.0,16,34.124339
-440.0,100,34.240989
-26.0,12,34.256517
29.0,2,34.259516
-85.0,25,34.474298
17.0,6,34.482297
4.0,7,34.493289
-64.0,23,34.525996
-254.0,68,34.62477
-28.0,16,34.646991
23.0,4,34.65252
29.0,2,34.655553
32.0,1,34.657324
29.0,2,34.661475
-119.0,43,34.716083
-19.0,13,34.732081
-43.0,21,34.756644
-35.0,15,34.775641
-141.0,42,35.032399
-74.0,28,35.070914
-44.0,18,35.094911
-37.0,24,35.128203
26.0,3,35.132203
-97.0,34,35.177719
32.0,1,35.179719
3.0,9,35.191718
-26.0,17,35.213716
26.0,3,35.217716
20.0,5,35.222717
-269.0,73,35.306522
-233.0,56,35.568614
-122.0,39,35.621377
-9.0,13,35.639397
29.0,2,35.64275
-10.0,10,35.655271
-4.0,8,35.667275
-1.0,7,35.678273
-17.0,14,35.696271
-13.0,16,35.716269
-157.0,44,35.779837
-66.0,27,35.818615
23.0,4,35.824065
17.0,6,35.832277
29.0,2,35.83457
-17.0,14,35.85195
-30.0,20,36.042325
29.0,2,36.044325
-2.0,9,36.056846
24.0,2,36.059845
32.0,1,36.060845
-42.0,19,36.083991
2.0,11,36.096988
-74.0,28,36.129984
17.0,6,36.13799
-198.0,56,36.210682
-20.0,15,36.23068
14.0,7,36.23969
32.0,1,36.241687
-20.0,15,36.258322
-58.0,21,36.284495
17.0,6,36.292499
-3.0,6,36.299547
23.0,4,36.30488
6.0,8,36.315002
15.0,5,36.321248
-80.0,25,36.352656
-38.0,21,36.592644
-146.0,42,36.65519
-269.0,73,36.754724
-119.0,33,36.795895
-255.0,70,36.879759
7.0,6,36.891066
-77.0,24,37.153034
-16.0,12,37.17164
-13.0,11,37.186633
-29.0,13,37.204632
18.0,4,37.210632
-16.0,12,37.227629
23.0,4,37.232628
12.0,6,37.241663
-89.0,33,37.287177
-1.0,12,37.303175
-80.0,30,37.343224
-239.0,63,37.438182
4.0,7,37.446567
29.0,2,37.449592
-64.0,23,37.478399
7.0,6,37.4848
-29.0,18,37.687297
-138.0,36,37.731536
-92.0,24,37.765385
-105.0,30,37.808889
-267.0,79,37.920303
-210.0,50,37.985781
-103.0,26,38.025453
29.0,2,38.028979
-107.0,29,38.269403
14.0,7,38.278678
20.0,5,38.286674
-157.0,44,38.352908
4.0,7,38.363612
-43.0,21,38.394608
-71.0,27,38.430612
-7.0,9,38.441622
-95.0,25,38.472144
29.0,2,38.476175
17.0,6,38.487621
29.0,2,38.489626
23.0,4,38.496047
26.0,3,38.500933
-195.0,45,38.56259
24.0,2,38.566591
-7.0,9,38.583122
-299.0,73,38.872468
-39.0,18,38.899462
24.0,2,38.904627
6.0,8,38.91462
-20.0,15,38.933142
-65.0,25,38.96972
18.0,4,38.975234
-127.0,39,39.023231
-11.0,12,39.038229
-14.0,13,39.054756
-37.0,19,39.07777
18.0,4,39.083769
-90.0,30,39.121793
-198.0,56,39.37044
-95.0,30,39.41235
-163.0,41,39.473894
15.0,5,39.481609
-38.0,16,39.506412
-45.0,20,39.531611
18.0,4,39.537004
-12.0,9,39.548022
-28.0,16,39.56755
-109.0,38,39.614408
-15.0,10,39.626472
-244.0,53,39.864512
29.0,2,39.86653
-18.0,16,39.88987
-56.0,17,39.914648
-115.0,30,39.955014
-3.0,11,39.970401
14.0,7,39.979091
-49.0,18,40.003283
-37.0,14,40.022661
-237.0,69,40.127687
17.0,6,40.135061
-8.0,11,40.150988
11.0,8,40.162616
-112.0,34,40.413404
23.0,4,40.41979
-104.0,33,40.46193
-82.0,24,40.489651
9.0,7,40.499145
15.0,5,40.505145
-197.0,49,40.564917
-118.0,41,40.612447
-96.0,27,40.643953
-59.0,23,40.672752
-210.0,65,40.955466
4.0,7,40.965599
-12.0,9,40.979399
-96.0,27,41.019985
-157.0,44,41.073674
-133.0,36,41.114774
21.0,3,41.118773
-118.0,41,41.166224
-15.0,10,41.177228
23.0,4,41.182227
-2.0,9,41.192226
26.0,3,41.196346
-118.0,36,41.45232
18.0,4,41.456317
23.0,4,41.46383
-9.0,13,41.482765
-61.0,27,41.521033
-6.0,12,41.539033
32.0,1,41.540033
-21.0,12,41.558561
-139.0,48,41.622593
-71.0,22,41.650622
